codigo_postal;municipio;pais
5358;Albornos;España
5358;Muñomer del Peco;España
5358;Narros de Saldueña;España
5358;Papatrigo;España
5358;San Juan de la Encinilla;España
5364;Hoyos del Espino;España
5370;Flores de Ávila;España
5370;Narros del Castillo;España
5380;Gimialcón;España
5380;Muñosancho;España
5380;Salvadiós;España
5400;Arenas de San Pedro;España
5410;Mombeltrán;España
5412;San Esteban del Valle;España
5413;Mombeltrán;España
5413;Santa Cruz del Valle;España
5413;Villarejo del Valle;España
5414;Cuevas del Valle;España
5415;Hornillo, El;España
5416;Arenal, El;España
5417;Guisando;España
5418;Arenas de San Pedro;España
5420;Sotillo de la Adrada;España
5427;Fresnedilla;España
5427;Higuera de las Dueñas;España
5428;Casillas;España
5429;Casillas;España
5429;Navahondilla;España
5429;Santa María del Tiétar;España
5430;Adrada, La;España
5440;Piedralaves;España
5450;Casavieja;España
5460;Gavilanes;España
5461;Mijares;España
5470;Pedro Bernardo;España
5480;Candeleda;España
5489;Candeleda;España
5490;Lanzahíta;España
5491;Mombeltrán;España
5492;Poyales del Hoyo;España
5500;Piedrahíta;España
5510;Santa María del Berrocal;España
5511;Santa María del Berrocal;España
5513;Burgohondo;España
5514;Bonilla de la Sierra;España
5514;Mesegar de Corneja;España
5514;Navaescurial;España
5514;San Miguel de Corneja;España
5514;Tórtoles;España
5515;Piedrahíta;España
5516;Hoyorredondo;España
5516;San Bartolomé de Corneja;España
5516;Villar de Corneja;España
5519;Gijón;España
5520;Padiernos;España
5520;Salobral;España
5520;Torre, La;España
5530;Muñogalindo;España
5530;Santa María del Arroyo;España
5540;Muñana;España
5540;Piedralaves;España
5540;Torre, La;España
5560;Amavida;España
5560;Muñotello;España
5560;Poveda;España
5560;Pradosegar;España
5560;Vadillo de la Sierra;España
5560;Villatoro;España
5570;Bonilla de la Sierra;España
5571;Casas del Puerto;España
5571;Navacepedilla de Corneja;España
5571;Villafranca de la Sierra;España
5580;Aldeanueva de Santa Cruz;España
5580;Avellaneda;España
5580;Santa María de los Caballeros;España
5581;Santa María de los Caballeros;España
5591;Villanueva del Campillo;España
5592;Santiago del Collado;España
5593;Aldehuela, La;España
5600;Barco de Ávila, El;España
5610;Becedas;España
5619;Gilbuena;España
5619;Medinilla;España
5619;Neila de San Miguel;España
5619;San Bartolomé de Béjar;España
5620;Carrera, La;España
5621;Puerto Castilla;España
5621;Solana de Ávila;España
5630;Bohoyo;España
5630;Santiago del Tormes;España
5631;Navalperal de Tormes;España
5631;Zapardiel de la Ribera;España
5631;San Juan de Gredos;España
5632;Navalperal de Tormes;España
5632;San Juan de Gredos;España
5633;San Juan de Gredos;España
5634;Hoyos del Collado;España
5634;Hoyos del Espino;España
5635;Navarredonda de Gredos;España
5640;Gavilanes;España
5690;Bohoyo;España
5690;Llanos de Tormes, Los;España
5691;Solana de Ávila;España
5692;Losar del Barco, El;España
5693;Gil García;España
